Ime,Opis recepta,Uporabnik,Datum,ID recepta,Priložnost,Priprava,Sezona,Vrsta jedi,Čas priprave,Sestavine,Postopek
Šparglji v smetanovi omaki,"hitra, zelo okusna omaka, ki se odlično prileže k svinjskemu zrezku",SamoMama,18.5.2017,21328,,kuhanje,pomlad,"glavne jedi, omake",15 minut,"Šparglje narežemo na kolobarčke (max. 0,5 cm) in jih na olju popečemo. Ko so šparglji že lepo popečeni, dodamo še česen, da zadiši, zalijemo s smetano in začinimo.",nekaj špargljev olje česen smetana sol domača sušena zelenjava muškatni orešček 

Baklava (boljša od klasične),"zelo enostavna za pripravo in tako okusna, da jo boste večkrat pripravljali",AlexStarsky,22.5.2017,21329,"martinovo, božič, pust, valentinovo, velika noč, novo leto, piknik, rojstni dan otroka, miklavževo",pečenje,"pomlad, poletje, jesen, zima",sladice,30 minut,"1. Skuhamo 700 g sladkorja in 1 l vode s polovico limone, narezane na rezine (krogi) in pustimo, da se ohladi.2. V eni posodi zmešamo orehe, 5 jušnih žlic sladkorja in 5 jušnih žlic drobtin.3. Stopimo 500 g masla in 3 dl olja skupaj v zmes, katero bomo uporabili za mazanje testa.4. Vzamemo posodo za baklavo in jo namažemo. Najprej vanjo položimo prve tri plasti testa, vsako testo namažemo z mešanico olja in masla in potresemo z orehi.Za naslednje plasti testa uporabimo samo dve plasti testa, seveda ju namažemo z mešanico olja in masla in potresemo z orehi. Tako  nadaljujemo do konca.5. Preden končamo z zlaganjem testa, pečico segrejemo na 160 stopinj.6. Za konec baklave pustimo tri kose testa, od katerih namažemo samo dva, tretjega pustimo suhega. Z manjšim, ostrim nožem razrežemo baklavo na v obliko kvadratov ali trikotnikov.7. Narezano baklavo postavimo v pečico, ogreto  na 160 stopinj in jo pečemo 2 uri, potem pa zvišamo temperaturo na 180 stopinj in pečemo še dodatnih 20 minut, da postane zlato -rumene barve.8. Pečeno baklavo prelijemo z ohlajenim prelivom vse do vrha in jo pritisnemo z drugo posodo enake velikosti. Pustimo jo na mrzlem prostoru in postrežemo drug dan.",1 kg vlečenega testa 1 kg mletih orehov 5 jušnih žlic sladkorja 5 jušnih žlic krušnih drobtin 500 g masla 3 dl jedilnega olja polovica limone 700 g sladkorja 1 l vode 

Čokoladna rolada,"okusna čokoladna rolada, ki je enostavna za pripravo",analjubeckovac,23.5.2017,21330,"martinovo, božič, valentinovo, novo leto, piknik, rojstni dan otroka, miklavževo","kuhanje, pečenje","pomlad, poletje, jesen, zima",sladice,45 minut,"1. Zmešamo rumenjake, sladkor in vanilin sladkor, da je vse skupaj penasto.2. Presejemo moko, kakav v prahu in pecilni prašek ter vse skupaj dodamo rumenjakom.3. Posebej stepemo beljake in ščepec soli.4. K zmesi rumenjakov, moke, kakava v prahu in pecilnega praška postopoma dodajamo sneg iz beljakov.5. Zmes zlijemo v nizek pekač večje velikosti, ki ga obložimo s papirjem za peko in pečemo od 15-20 minut pri 180 stopinjah.6. Raztegnemo kuhinjsko krpo in jo posujemo s sladkorjem v prahu. Ko je biskvit pečen, ga položimo na kuhinjsko krpo, odstranimo papir za peko in tudi drugo stran biskvita posujemo s sladkorjem v prahu. Biskvit zavijemo v kuhinjsko krpo in počakamo, da se ohladi.7. Medtem, ko čakamo, da se biskvit ohladi, pripravimo nadev. Nad vodno paro stopimo sladko smetano in čokolado za kuhanje. Ko se raztopi, zmes postavimo v hladilnik, da se ohladi. Ohlajeno zmes zmešamo z mešalnikom in razmažemo po biskvitu.8. Biskvit zavijemo in po vrhu potresemo Nesquik kakav ali sladkor v prahu. Rolado lahko oblijemo tudi s čokolado.",4 jajca 180 g sladkorja 1 vanilin sladkor 60 g moke 30 g kakava v prahu 1/2 pecilnega praška ščepec soli 200 ml sladke smetane 360 g čokolade za kuhanje 

"Svinjski steak s čebulnimi obročki, ovitimi v slanino",čarobna mešanica za žar,HOFER Slovenija,24.5.2017,21331,piknik,"pečenje, žar",,,90 minut,"1. Čarobna začimbna mešanica: česen olupimo in stisnemo s stiskalcem česna. Solimo in pustimo počivati približno 5 minut. Nato dodamo ostale sestavine in vse skupaj dobro premešamo.Marinada: zmešamo kečap, gorčico, sojino omako in oljčno olje. Limonino lupinico nastrgamo, peteršilj in rožmarin pa drobno sesekljamo. Vse skupaj vmešamo v marinado in damo v hladilnik za vsaj 1 uro.Čebulni obročki: čebulo olupimo in narežemo na 2 cm debele kolobarje. Izberemo 12 največjih, preostale pa čim prej porabimo za kakšno drugo jed. Kolobarje začinimo s čarobno začimbno mešanico, ovijemo v slanino in pečemo na žaru približno 4 minute na vsaki strani.Svinjski steaki: steake tik pred peko na žaru začinimo s čarobno začimbno mešanico. Na vsaki strani jih pečemo približno 2 minuti. Nato jih premažemo z marinado in na vsaki strani pečemo še 2 minuti.",Za čarobno začimbno mešanico: 2 stroka česna 1 žlica mlete sladke paprike LE GUSTO 1 čajna žlička mlete kumine LE GUSTO 1 čajna žlička cele kumine LE GUSTO 1 žlica suhega timijana malo soli PIRANSKE SOLINE malo popra LE GUSTO Za marinado: 2 žlici kečapa LOMEE 1 žlica gorčice LOMEE 1 žlica sojine omake 1 žlica oljčnega olja CASTELLO četrtina bio limone 5 g svežega peteršilja 5 g svežega rožmarina Za čebulne obročke: 1 velika čebula malo čarobne začimbne mešanice 200 g slanine KRAS Za svinjske steake: 800 g svinjskega kareja OKUS PODEŽELJA malo čarobne začimbne mešanice malo marinade 

Paketki z jajčevcem in mocarelo,sirno - zelenjavna priloga z žara,HOFER Slovenija,24.5.2017,21332,piknik,"pečenje, žar",,priloge,45 minut,"1. Jajčevec po dolgem narežemo na približno pol centimetra debele rezine. Položimo jih na papirnato kuhinjsko brisačo, posolimo in pustimo počivati približno 5 minut. Tudi opran paradižnik narežemo na rezine, prav tako mocarelo. Nato vsako rezino mocarele rahlo osolimo, čez pa položimo rezino paradižnika, ki jo po vrhu premažemo z bazilikovim pestom.2. Po dve rezini jajčevca prekrižamo, na sredino položimo mocarelo s paradižnikom, konce jajčevca pa preložimo enega čez drugega, da oblikujemo lep paketek. Prebodemo ga z zobotrebcem, da se med peko ne odvije. Nato ga položimo na žar in na vsaki strani pečemo približno 3 minute.",1 jajčevec 2 paradižnika 2 zavojčka mocarele v kosu CARLONI 20 g bazilikovega pesta CARLONI malo soli PIRANSKE SOLINE 8 zobotrebcev 

Cvetača z žara,zelenjavna priloga z žara,HOFER Slovenija,24.5.2017,21333,piknik,"pečenje, žar",,,45 minut,"Zmehčano maslo zmešamo z oljčnim oljem in z njim premažemo cvetačo, ki jo približno 30 minut pečemo v aluposodici na žaru pri 180 stopinjah. Med peko v posodico večkrat prilijemo malo jušne osnove, dokler cvetača ne postane lepe zlato rjave barve. Nato jo z ostrim nožem razrežemo na manjše koščke, ki jih še malo posolimo.",2 žlici čajnega masla MILFINA 2 žlici oljčnega olja CASTELLO 1 cvetača 125 ml jušne osnove iz brezmesne jušne kocke LE GUSTO malo soli PIRANSKE SOLINE 

Pikantne mesne kroglice s popečenimi zelenjavnimi enchiladami,super ideja za piknik,HOFER Slovenija,24.5.2017,21334,piknik,"pečenje, žar",,,90 minut,"1. Mesne kroglice: čebulo, česen, čili in peteršilj fino sesekljamo. Kajzerici narežemo na večje kocke in namočimo v mlačnem mleku. Ožeti ju skupaj z mletim mesom, jajcema, gorčico, moko, drobtinami, začimbami in prej sesekljano zelenjavo dobro pregnetemo ter pustimo počivati pol ure. Nato iz mase oblikujemo približno od 30 do 40 gramske kroglice in pripravimo nabodala s po 3 kroglicami. Na žaru jih previdno popečemo.2. Zelenjavne enchilade: moko, maslo, sol in vodo zamesimo v testo in razvaljamo v tanke tortilje. Spečemo jih v ponvi brez olja. Paprike, bučko, čebulo in paradižnik narežemo na trakove in v ponvi pri visoki temperaturi na hitro popražimo. Solimo, popramo in zalijemo z limetinim sokom. Dodamo pasiran paradižnik, kislo smetano in naribano mocarelo ter premešamo. Še toplo zelenjavo enakomerno porazdelimo po tortiljah, ki jih zvijemo in popečemo na žaru.","Za mesne kroglice: 1 čebula 1 strok česna 1 ali 2 čilija (po želji) malo peteršilja 2 kajzerici OKUS TRADICIJE 125 ml polnomastnega mleka MILFINA 500 g mešanega mletega mesa OKUS PODEŽELJA 2 bio jajci NATUR AKTIV 1 žlica gorčice LOMEE 2 žlici gladke pšenične moke KORNGOLD 2–3 žlice krušnih drobtin KORNGOLD malo soli PIRANSKE SOLINE in karija LE GUSTO nabodala Za zelenjavne enchilade: 250 g pšenične moke KORNGOLD 2 žlici čajnega masla MILFINA 80 ml mlačne vode polovica rdeče, polovica rumene, polovica zelene paprike 1 majhna bučka, 1 čebula, 1 paradižnik sok pol limete 3 žlice pasiranega paradižnika CARLONI 2 žlici kisle smetane MILFINA 100 g naribane bio mozzarelle NATUR AKTIV sol PIRANSKE SOLINE poper LE GUSTO "

"Piščanec z omako guacamole, koruznimi polpetki in karameliziranimi kokicami",piknik z mehiškim pridihom,HOFER Slovenija,25.5.2017,21335,piknik,"pečenje, žar",,,60 minut,"1. Piščanec z omako guacamole: avokada razpolovimo, jima odstranimo koščici in izdolbemo. Čebulo in paradižnik narežemo na kocke, koriander drobno sesekljamo. Avokado, čebulo, paradižnik, limetin sok, sol, poper in koriander z vilicami pretlačimo v guacamole. Piščančje fileje solimo, popramo in začinimo z mleto papriko. Popečemo jih na žaru, približno 4–5 minut na vsaki strani. Pečene fileje po vrhu bogato obložimo z omako guacamole in jih na pokritem žaru še nekoliko gratiniramo.2. Koruzni polpetki: sir fino naribamo, koruzo pa operemo in odcedimo. Jajci, koruzo in nariban sir zmešamo skupaj in nato previdno vmešamo še moko. Na žaru v ponvi segrejemo malo rastlinskega olja. Iz pripravljene koruzne mase z žlico oblikujemo polpetke, ki jih na vsaki strani pečemo približno 3 minute.Karamelizirane kokice: v velikem loncu na maslu prepražimo sladkor. Ko porjavi, dodamo fino sesekljan čili in slane kokice, ki smo jih pred tem pripravili v mikrovalovni pečici. Vse skupaj dobro premešamo, stresemo na pekač in za 10 minut postavimo v pečico, segreto na 190 stopinj.","Za piščanca z omako guacamole: 2 avokada, 1 čebula, 1 paradižnik 10 g svežega koriandra sok 1 limete 600 g piščančjih filejev OKUS PODEŽELJA malo mlete paprike LE GUSTO Za koruzne polpetke: 70 g gavde MILFINA 1 pločevinka koruze v zrnju GARTENKRONE 2 bio jajci NATUR AKTIV 100 g gladke pšenične moke KORNGOLD malo rastlinskega olja OSANA za peko Za karamelizirane kokice: 2 žlici čajnega masla MILFINA 50 g kristalnega sladkorja AGRAGOLD 1 majhen rdeč čili 50 g slane pokovke za mikrovalovno pečico SNACK FUN sol PIRANSKE SOLINE poper LE GUSTO "

Lososov file v poprovi marinadi z zelenjavnim kuskusom na bananinem listu,specialiteta z žara,HOFER Slovenija,25.5.2017,21336,piknik,"pečenje, žar",,,45 minut,"1. Kuskus: čebulo in korenček olupimo ter narežemo na drobne kocke, prav tako obe polovički paprik. Brokoli narežemo na koščke. V loncu zavremo osoljeno vodo in v njej približno 30 sekund kuhamo narezan korenček, papriko in brokoli. Zelenjavo takoj zatem splaknemo pod mrzlo vodo ter pustimo, da se odcedi na čisti kuhinjski krpi. V manjšem loncu na stopljenem maslu na hitro popražimo sesekljano čebulo. Dodamo kuskus, ki ga prav tako na hitro popražimo. Zalijemo z jušno osnovo in kuhamo pokrito pri nizki temperaturi približno 8 minut. Kuskusu primešamo še zelenjavo. Solimo, popramo in potresemo s peteršiljem.2. Lososov file: z lososa odstranimo kožo. Dobro ga natremo s poprom in malo soli. Bananin list ali alu folijo narežemo na 4 pravokotnike. Limono operemo in narežemo na rezine. Na sredo vsakega kosa bananinega lista oz. alu folije nadevamo malo kuskusa. Čez položimo lososov file in na vrh še rezino limone. Kose bananinega lista ali alu folije zvežemo v mošnjičke, preložimo v ognjevarno pokrito posodo ter pečemo na žaru pri temperaturi 220 stopinj približno 10 minut.",Za kuskus: 1 majhna čebula 1 korenček polovica rumene paprike polovica rdeče paprike 100 g brokolija 20 g bio masla NATUR AKTIV 500 g bio kuskusa NATUR AKTIV 200 ml jušne osnove iz bio brezmesne jušne kocke NATUR AKTIV malo peteršilja sol PIRANSKE SOLINE poper LE GUSTO Za lososov file: 2 zavoja filejev norveškega lososa GOURMET (po 300 g) poper LE GUSTO sol PIRANSKE SOLINE 1 bio limona 1 bananin list ali alu folija FOLIO 

Mesna nabodala,vedno dobro sprejeta klasika,HOFER Slovenija,25.5.2017,21337,piknik,"pečenje, žar",,,60 minut,"1. Porov list zrežemo na približno 1,5 x 2 cm velike lističe, nürnberški pečenici pa na približno 2 cm dolge koščke (potrebovali jih bomo 12). V posodi zmešamo kocke mesa, koščke pečenic, porove lističe, oprane in osušene češnjeve paradižnike, oljčno olje, peteršilj, sol in poper. Posodo pokrijemo s folijo in jo za 2 uri postavimo v hladilnik.2. Na nabodala izmenično nabadamo meso in zelenjavo, tako da dobimo lepa in barvita nabodala, ki jih na žaru pečemo približno 10 minut na vsaki strani.",400 g kock svinjskega mesa OKUS PODEŽELJA malo mladega pora 2 nürnberški pečenici 9–12 češnjevih paradižnikov 100 ml oljčnega olja MINOS 1 čajna žlička sesekljanega peteršilja sol poper LE GUSTO 4 nabodala 

Kraljevi sendvič z žara,vaš bodoči najljubši sendvič,HOFER Slovenija,25.5.2017,21338,piknik,"pečenje, žar",,,45 minut,"1. Zrezka popečemo na vročem žaru. Da bosta ravno prav pečena, ju na eni strani pečemo tako dolgo, da se bo na vrhnji strani nabralo malo mesnega soka, nato ju obrnemo in ju na drugi strani pečemo ravno toliko minut, kot smo ju pekli na prvi strani. Ko sta zrezka gotova, ju zavijemo v alu folijo in pustimo počivati približno 5 minut.2. Francoski bageti prepolovimo po dolžini in širini, namažemo s česnovim ali zeliščnim maslom ter popečemo na žaru. Paradižnika in čebuli narežemo na nekoliko debelejše kolobarje ter jih solimo, popramo, po želji pokapamo z malo balzamičnega kisa in popečemo na žaru.3. Zrezka narežemo na tanke trakove, ki jih skupaj s popečeno zelenjavo naložimo na spodnji polovici baget. Na meso in zelenjavo damo malo česnove ali čilijeve dip omake za jedi z žara in po 2 rezini sira. Pokrijemo z zgornjima polovicama baget in postrežemo.",2 zrezka iz goveje bržole 2 francoski bageti 50 g zeliščnega ali česnovega masla MILFINA 8 rezin edamca MILFINA 2 paradižnika 2 srednje veliki čebuli morska sol poper LE GUSTO italijanski balzamični kis CASA CANDIOTTI (po želji) 4 žlice dip omake za jedi z žara MILFINA (česnove ali s čilijem) 

Postrv na žaru z zelenjavnimi nabodali,okusna in enostavna jed,HOFER Slovenija,26.5.2017,21339,piknik,"pečenje, žar",,,60 minut,"Postrvi: operemo in jih do suhega obrišemo. Iz sesekljanega česna, peteršilja, soka pol limone in oljčnega olja pripravimo marinado, s katero premažemo ribe in jih pustimo počivati pol ure. Preden damo ribe na žar, jim posolimo trebušno votlino. V trebušno votlino damo še lovorjev list in eno ali dve limonini rezini. Postrvi na vročem žaru na vsaki strani pečemo približno 8 do 10 minut. Vmes jih lahko še enkrat premažemo s preostankom marinade. Ko so pečene, jih solimo še po zunanji strani.2. Zelenjavna nabodala: krompirje olupimo, vsakega narežemo na 3 približno 3 cm velike kose in jih v slanem kropu kuhamo približno 10 minut. Tudi papriki narežemo na 3 približno 3 cm velike kose. Na nabodalo nabodemo kos rdeče paprike, kos kuhanega krompirja, češnjev paradižnik, ponovno kos kuhanega krompirja in nato kos rumene paprike. Zelenjavo potrosimo s provansalskimi zelišči, solimo, popramo ter pečemo na žaru približno 5 do 10 minut.",Za postrvi: 4 postrvi ALMARE SEAFOOD 2 stroka česna 2 žlički peteršilja LE GUSTO 4 žlice bio oljčnega olja KLOSTER TOPLOU 1 limona 4 lovorjevi listi LE GUSTO sol Za zelenjavna nabodala: 3–4 krompirji 1 rdeča paprika 1 rumena paprika 4 češnjevi paradižniki 1 žlica provansalskih zelišč LE GUSTO poper LE GUSTO sol 4 nabodala 

"Eksotična poletna solata z avokadom, mangom, mozzarello, baziliko in praženimi oreški","eksotična solata, nad katero bodo vsi navdušeni",HOFER Slovenija,26.5.2017,21340,piknik,,,solate,30 minut,"1. Indijske oreške prepražimo v ponvi brez maščobe. Oba kosa avokada previdno razpolovimo, izkoščičimo in z žlico izdolbemo sadno meso. Pazimo, da ostane lupina cela, saj bomo v njej postregli solato. Olupljen in izkoščičen mango ter avokadovo sadno meso narežemo na enako velike kocke, ki jih mariniramo v limetinem soku.2. Mozzarelline kroglice narežemo na polovice, češnjeve paradižnike pa na četrtine. Nekaj listov bazilike prihranimo za okras, preostanek pa narežemo na fine trakove. Vse sestavine zmešamo, solimo in popramo ter jih v hladilniku pustimo počivati 5 minut. Nato solato pokusimo, jo po potrebi dosolimo in popramo ter z njo napolnimo avokadove lupine. Okrasimo jo še z lističi bazilike in postrežemo.",100 g bio indijskih oreškov NATUR AKTIV 2 kosa avokada 1 mango sok 1 limete 1 pakiranje mozzarelle bambini znamke CARLONI 100 g češnjevih paradižnikov pol šopka bazilike 2 žlici oljčnega olja MINOS sol PIRANSKE SOLINE poper LE GUSTO 

Krompirjevi hrustljavčki z ragujem iz paprike in čebule,odlično kosilo,HOFER Slovenija,27.5.2017,21341,,,,,45 minut,"1. Krompirjevi hrustljavčki: krompir olupimo, grobo naribamo, solimo, popramo in pustimo počivati približno 3 minute. Nato ga ožamemo, vodo pa odlijemo. Primešamo moko in oblikujemo hrustljavčke. Pečemo jih v ponvi na vročem olju približno 3–5 minut in vmes enkrat obrnemo.2. Ragu iz paprike in čebule: papriki operemo, jima odstranimo semena in ju narežemo na trakce. Tudi olupljeni čebuli narežemo na trakce. Česen olupimo in drobno sesekljamo. V ponvi segrejemo olje in trakce čebule zlato rjavo popražimo. Primešamo trakce paprike in spet na hitro popražimo. Dodamo mleto rdečo papriko, česen, paradižnikovo mezgo in majaron ter zalijemo z refoškom. Ko se pokuha približno polovica vina, prilijemo rižev napitek, zavremo ter solimo in popramo.",Za krompirjeve hrustljavčke: 1 kg čvrstega krompirja 3 žlice pšenične moke KORNGOLD malo repičnega olja OSANA malo soli PIRANSKE SOLINE malo popra LE GUSTO Za ragu iz paprike in čebule: 2 rdeči papriki 2 rdeči čebuli 1 strok česna malo repičnega olja OSANA 2 žlici mlete rdeče paprike LE GUSTO 1 žlica paradižnikove mezge CARLONI malo majarona 125 ml refoška VINAKOPER 125 ml bio riževega napitka NATUR AKTIV malo soli PIRANSKE SOLINE malo popra LE GUSTO 

S cvetačo polnjena paprika,polnjena paprika malo drugače,HOFER Slovenija,27.5.2017,21342,,kuhanje,,,90 minut,"1. Cvetačo operemo in narežemo na majhne koščke. Stresemo jo v osoljeno vrelo vodo in kuhamo približno 1 minuto. Nato jo odcedimo in poplaknemo z mrzlo vodo. Olupljeno čebulo in rdečo papriko drobno nasekljamo. Cvetači dodamo kuhan riž, 40 g čebule, rdečo papriko, sir in jajci ter solimo in popramo.2. Zelene paprike izdolbemo, operemo in napolnimo z nadevom. Položimo jih v plitev pekač. Korenje in jušno zelenjavo fino nasekljamo ter s preostalo čebulo prepražimo na olju, nato dodamo paradižnikovo mezgo in še malo popražimo. Zalijemo z jušno osnovo, pripravljeno po navodilih na embalaži, pokuhamo in z mešalnikom gladko pretlačimo. Nato s pripravljeno omako prelijemo paprike.3. Pečemo v pečici s funkcijo kroženja vročega zraka pri 145 stopinjah približno 50 do 60 minut.",150 g cvetače 2 majhni čebuli 120 g rdeče paprike 160 g kuhanega bio riža NATUR AKTIV 4 zelene paprike 100 g naribanega italijanskega trdega sira CUCINA NOBILE 2 bio jajci NATUR AKTIV 20 g korenja 20 g jušne zelenjave 80 g paradižnikove mezge CARLONI 250 ml jušne osnove iz brezmesne jušne kocke LE GUSTO sončnično olje OSANA sol PIRANSKE SOLINE poper LE GUSTO 

Bučni pomfrit,pečeni krompirček brez krompirčka:),HOFER Slovenija,27.5.2017,21343,,cvrtje,,,45 minut,"Bučo hokaido operemo in narežemo na rezine, dolge približno 4 cm in široke približno 0,5 cm. Sol zmešamo z rožmarinovimi listki in vse skupaj drobno nasekljamo, da sol vpije eterična olja rožmarina. Olje v cvrtniku segrejemo na 170 stopinj in rezine buče zlato zapečemo. Še vroče posujemo z rožmarinovo soljo.",800 g buče hokaido 1 vejica svežega rožmarina ekstra deviško oljčno olje CASTELLO sol PIRANSKE SOLINE 

Veganski cesarski praženec,carski praženec po vegansko,HOFER Slovenija,28.5.2017,21344,,pečenje,,,30 minut,"1. Lanena semena zmeljemo v kavnem mlinčku in jih stresemo v posodo z vodo. Mešamo, da nastane želatinasta zmes. Počasi dodajamo moko, pecilni prašek in sojin napitek ter pazljivo premešamo, da dobimo gladko maso.2. V ne prevroči ponvi razpustimo kokosovo maslo. Prej pripravljeno maso zlijemo v ponev, po vrhu razporedimo rozine in pustimo, da se spodnja stran zlato zapeče. Previdno obrnemo in zlato zapečemo še drugo stran.3. Pečen praženec razkosamo z vilicami in potresemo s sladkorjem v prahu.",4 žlice bio lanenih semen NATUR AKTIV 12 žlic vode 80 g gladke pšenične moke KORNGOLD 1 čajna žlička pecilnega praška BELLA 150 ml bio sojinega napitka NATUR AKTIV kokosovo maslo NUSETT (za pečenje) 1 žlica rozin sultanin HAPPY HARVEST 2 žlici sladkorja v prahu DIAMANT 

Zelenjavna nabodala z bio tofujem,vegi nabodala,HOFER Slovenija,28.5.2017,21345,piknik,"pečenje, žar",,,30 minut,"Za marinado zmešamo oljčno olje, sojino omako, sesekljan česen in peteršilj. Zelenjavo in tofu narežemo na kocke ali trikotnike. Prelijemo jih s pripravljeno marinado in jih za 1–2 uri postavimo v hladilnik. Marinirane kocke zelenjave in tofuja izmenično nabadamo na nabodala, ki jih nato na žaru pečemo 3–4 minute na vsaki strani.",50 ml oljčnega olja MINOS 100 ml sojine omake ASIA 1 strok česna malo sesekljanega peteršilja 1 bučka 1 rumena paprika 1 zelena paprika 400 g bio tofuja NATUR AKTIV (navadnega ali s čilijem) 8 nabodal 

"Piščančji file z jurčki, perutninskim kapučinom in pirejem",piščanec z gobicami,HOFER Slovenija,28.5.2017,21346,,,,glavne jedi,150 minut,"1. Piščančji file z jurčki: piščančji file solimo in popramo ter ga najprej na olju z obeh strani na hitro popečemo, nato ga v pečici pri 150 stopinjah pečemo še 25 minut. Jurčke narežemo na majhne kocke in jih na oljčnem olju pražimo približno 5 minut. Jurčke solimo in popramo po okusu, jih potresemo s sesekljanim peteršiljem ter na rahlo premešamo.2. Perutninski kapučino: perutninske kosti, narezano zelenjavo in zelišča damo v vodo, zavremo, solimo in popramo ter na nizki temperaturi kuhamo 2 uri. Jušno osnovo, ki smo jo dobili, precedimo skozi gosto cedilo.3. Pred serviranjem v nekoliko višjo in ožjo posodo nalijemo 100 ml vroče jušne osnove, ji dodamo čajno žličko hladnega masla in jo s paličnim mešalnikom pretlačimo, da se na vrhu ustvari pena, s katero naredimo krog po robu krožnika.Namig: jušno osnovo, ki je ostala, v manjših posodah shranimo v zamrzovalniku, kuhano zelenjavo iz jušne osnove pa pretlačimo s paličnim mešalnikom in uporabimo za gostenje omak ali pripravo juhe.Pire: olupljen krompir razkosamo in ga skuhamo v slanem kropu. Ko ga odcedimo, še vročemu dodamo maslo in vroče mleko ter ga pretlačimo. Pire na koncu po potrebi dosolimo.","Za piščančji file z jurčki: 600 g piščančjega fileja OKUS PODEŽELJA oljčno olje MINOS 400 g jurčkov peteršilj sol poper LE GUSTO Za perutninski kapučino: 2,5 l vode 1,25 kg perutninskih kosti 100 g korenja 50 g zelene 50 g pora 40 g čebule 75 g peteršiljeve korenine zelišča (lovorjev list, vejica timijana, vejica rožmarina, peteršilj) 1 čajna žlička masla MILFINA sol poper v zrnu LE GUSTO Za pire: 1 kg krompirja 150 g masla MILFINA 50 ml polnomastnega mleka MILFINA sol "

Puding torta,zelo dobra torta s pudingom,nutellaa,26.5.2017,21348,rojstni dan otroka,pečenje,,sladice,45 minut,"1. Najprej zmešamo jajca in sladkor. Potem dodamo vse sestavine, ki so navedene za testo. Pečemo v poljubnem pekaču (okroglem, pravokotnem...), ki ga predhodno namažemo z maslom ali margarino ter potresemo z malo moke. Pečemo na 170 stopinjah približno 15-20 minut, dokler biskvit ne dobi zlate barve. Jaz sem vanj zapičila zobotrebec in če se ni nič prijelo nanj, sem vedela, da je dobro pečeno.2. Med tem, ko se biskvit peče, najprej pripravimo 2 želatini, saj morata stati približno 10 minut, da se strdi. Želatino zmešamo z 3 žlicami vode in pustimo (vsako posebej zmešamo v posodici). Preden jo dodamo pudingu, jo na ognju segrejemo do vrelišča.3. Skuhamo pudinga. 1/2 l mleka damo v posodo da zavre, med tem pripravimo mešanico pudinga (vanilija). Vanj vmešamo 3 žlice moke, 4 žlice sladkorja, 1 vanilijev sladkor. Mleko odstavimo iz ognja in vanj počasi vmešamo mešanico. Medtem neprestano mešamo. Damo še na ogenj za 1-2 minuti (neprestano mešamo) in odstavimo. Na koncu dodamo stopljeno želatino in zmešamo, da je masa lepo gladka. Postopek ponovimo pri kuhanju drugega pudinga (čokoladnega).4. Ko je biskvit pečen, nanj vlijemo še topel puding. Najprej enega, nanj še drugega. Po o želji in okusu okrasimo. Vse skupaj postavimo v hladilnik (jaz sem pustila čez noč), da se ohladi. Pa dober tek.",Testo: 4 jajca 1 skodelica za belo kavo sladkorja (2 dl) 1 vanilin sladkor 100 g kokosove moke 6 velikih žlic moke 1/2 pecilnega praška 1 skodelica mleka 1/2 skodelice olja Krema: 1 l mleka 1 vanilijev puding 1 čokoladni puding 8 žlic sladkorja 2 vanilijeva sladkorja 2 vrečki želatine v prahu 100g kokosove moke Posip: mandeljni  (po želji) keksi (po želji) 

Skutna torta,preprosto odlična torta,ZELENE DOLINE,29.5.2017,21349,"martinovo, božič, pust, valentinovo, novo leto, piknik, rojstni dan otroka, miklavževo",pečenje,,sladice,60 minut,"1. Čokoladni biskvit: beljake stepemo v sneg, dodamo sladkor. Presejemo moko in kakav. Na koncu umešamo nougat. Pečemo 8 minut pri 200 stopinjah.2. Skutna krema: 1 dl sladke smetane zavremo z naribano limonino lupino. Ohladimo in precedimo. Zmešamo skupaj s preostalimi sestavinami (razen želatine in nougata). Na koncu umešamo še stopljeno želatino in nougat.3. Mangov žele z meto: vse sestavine, razen mete, zavremo, pustimo, da nekaj minut vre. Odstavimo, dodamo metine liste in zmeljemo. Precedimo, vlijemo v ponev in ohladimo.4. Mousse gozdnih sadežev: sadje zavremo skupaj z jagodičevjem, sladkorjem in vanilijo. Pustimo vreti približno 3 minute. Dodamo jedilni škrob. Ko je malo ohlajeno, dodamo še nabreknjeno želatino. Na koncu, ko je zmes že ohlajena, postopoma dodajamo dobro stepeno smetano.5. Pripravimo preliv iz bele čokolade in oblijemo torto.","Čokoladni biskvit: 4 jajca 100 g sladkorja 70 g pšenične moke 30 g kakava 10 g krokanta nougata Skutna krema: 6 dl smetane ZELENE DOLINE naribana lupina limone 500 g nepasirane skute ZELENE DOLINE 250 g Milerama ZELENE DOLINE sredica polovice vanilijevega stroka 120 g sladkorja 15 g želatine 40 g nougata Mangov žele z meto: 25 g mangovega pireja 1 dl vode 2 veliki žlici sladkorja 3–4 liste mete Mousse gozdnih sadežev: 300 g malinovega pireja 250 g jagodičevja 100 g sladkorja polovica sredice vanilijevega stroka 1 velika žlica škroba, razmešanega z vodo 6 dl smetane ZELENE DOLINE 13 g želatine Preliv: bela čokolada "

